column,category,description,typical_range,source,notes
rank,Identity,"Overall CAGE ranking, sorted by CAGE_EM then BARTHAG as tiebreaker.",1 – 364,Computed,1 = best team in D1.
team,Identity,Team name.,—,ESPN API,
team_id,Identity,ESPN internal team identifier.,—,ESPN API,Use for joins with other pipeline CSVs.
conference,Identity,Athletic conference affiliation.,—,ESPN API,
conf_rank,Identity,Rank within conference by CAGE_EM. 1 = best team in that conference.,1 – ~18,Computed,NaN for independents with no conference.
record,Identity,Overall win-loss record (season).,e.g. 24-8,Computed,
home_record,Identity,Home win-loss record.,e.g. 14-2,Computed,
away_record,Identity,Away win-loss record.,e.g. 7-5,Computed,
cage_em,Core Efficiency,"CAGE Efficiency Margin — our AdjEM equivalent. Points per 100 possessions better than an average D1 team, adjusted for opponent quality and pace. Primary sort column.",-25 to +30,Computed from adj_net_rtg,"KenPom equivalent: AdjEM. Higher is better. A+: ≥25, A: 18–25, B+: 7–12, Bubble: 0–2."
cage_o,Core Efficiency,"CAGE Adjusted Offensive Rating — points scored per 100 possessions, adjusted for opponent defensive quality.",95 – 125,Computed from adj_ortg,KenPom equivalent: AdjO. League average ≈ 103.
cage_d,Core Efficiency,"CAGE Adjusted Defensive Rating — points allowed per 100 possessions, adjusted for opponent offensive quality. Lower is better.",85 – 115,Computed from adj_drtg,KenPom equivalent: AdjD. League average ≈ 103. Elite defenses: <92.
cage_t,Core Efficiency,"CAGE Adjusted Tempo — possessions per 40 minutes, pace-adjusted. Neither fast nor slow is inherently better.",60 – 80,Computed from adj_pace,"KenPom equivalent: AdjT. High = up-tempo, Low = slow and deliberate."
barthag,Win Probability,Probability of beating an average D1 team on a neutral court. Torvik's signature metric. Computed via Pythagorean expectation: AdjO^11.5 / (AdjO^11.5 + AdjD^11.5).,0.000 – 1.000,Computed from cage_o / cage_d,"Torvik equivalent: BARTHAG. Elite ≥0.90, Bubble ≈0.50, Bottom <0.20."
wab,Win Probability,Wins Above Bubble — how many more wins this team earned vs what a bubble team (AdjEM=0) would have earned against the identical schedule.,-5 to +12,Computed from game log,Torvik equivalent: WAB. Accounts for schedule difficulty. A 25-5 record vs cupcakes may have lower WAB than 20-10 vs elite schedule.
expected_win_pct,Win Probability,"Pythagorean win percentage — expected win rate based on scoring efficiency, independent of actual results.",0.000 – 1.000,Pipeline,High expected_win_pct with low actual_win_pct = unlucky team due for regression upward.
actual_win_pct,Win Probability,Actual season win percentage.,0.000 – 1.000,Computed,
luck,Schedule,Luck score — actual win% minus Pythagorean win%. Positive = winning more games than efficiency predicts (lucky). Negative = unlucky.,-0.15 to +0.15,Pipeline,KenPom equivalent: Luck. Teams with high luck tend to regress toward their Pythagorean expectation. Used in RegressedEff ensemble model.
sos,Schedule,Strength of Schedule — average opponent adjusted net rating this team has faced. Positive = tougher than average schedule.,-10 to +10,Pipeline (opp_avg_net_rtg_season),KenPom equivalent: SOS. Contextualizes record and efficiency ratings.
q1_record,Quad Records,"Record vs Quad 1 opponents (opp net rating ≥ +8.0 — elite, top ~25% of D1).",e.g. 4-3,Computed from game log,Most important quad for NCAA tournament seeding. Q1 wins are the gold standard.
q2_record,Quad Records,Record vs Quad 2 opponents (opp net rating 0 to +8.0 — above average).,e.g. 8-2,Computed from game log,
q3_record,Quad Records,Record vs Quad 3 opponents (opp net rating -8 to 0 — below average).,e.g. 10-1,Computed from game log,Losses here are mildly concerning. Expected wins for tournament-caliber teams.
q4_record,Quad Records,Record vs Quad 4 opponents (opp net rating < -8.0 — weak bottom tier).,e.g. 6-0,Computed from game log,Losses to Q4 opponents are bad losses and damage tournament resume significantly.
q1_wpct,Quad Records,Win percentage in Quad 1 games specifically.,0.000 – 1.000,Computed,Most predictive single quad stat for NCAA seeding. Elite teams maintain >0.50 Q1 record.
best_win_net,Quad Records,Best win quality — highest opponent adjusted net rating in a game this team won.,-5 to +25,Computed from game log,Higher = better marquee win. Elite resume: best win net >15.
bad_loss_count,Quad Records,Number of losses to Quad 4 opponents (embarrassing losses).,0 – 5+,Computed,Each bad loss significantly hurts tournament seeding and resume score.
cage_power_index,CAGE Composite,"Master composite ranking score combining efficiency, win probability, defense, momentum, resume, and clutch performance. Our single best overall team quality number.",0 – 100,Computed (weighted blend),100 = historically elite (2012 Kentucky tier). 85+ = title contender. 70–85 = top-5 seed. 55–70 = tournament team. 40–55 = bubble. <40 = NIT.
eff_grade,CAGE Composite,Letter grade for adjusted efficiency margin. Calibrated to actual D1 distribution.,A+ through F,Computed from cage_em,A+: ≥25. A: 18–25. A-: 12–18. B+: 7–12. B: 2–7. B-: 0–2. C+: -3–0. C: -7–-3. D: -18–-12. F: <-18.
